precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.38320000000000004,0.23366077373654098,0.2719882095630222,0.3409595238095238,0.39175675733508547,0.3432593345779961,0.30444666999667,0.4834513102210403,0.35521156308824037,1,1
0.4408,0.2749277151450425,0.3178500692303306,0.3741595238095238,0.4289144160160246,0.37673027953669463,0.3251133366633367,0.5152687212411434,0.3794061891163925,1,2
0.378,0.23068742672464912,0.26860114131937507,0.33455952380952386,0.3853615284441606,0.337011510398911,0.3013800033300033,0.4800072387983783,0.35203776224368893,1,3
0.44360000000000005,0.27577071159087246,0.31917952456069815,0.3857595238095238,0.4395747962790364,0.3877322414792135,0.33311333666333665,0.5254614840540773,0.3880096361530319,1,4
0.4264,0.2655106050709833,0.30720948230751755,0.37155952380952384,0.42358313419753046,0.3734094478402445,0.32858000333000337,0.5197864182271067,0.3830814805097119,1,5
0.428,0.26697811357440515,0.308400563937558,0.36395952380952384,0.420252539565573,0.36750849500843735,0.32124666999667,0.510420969835467,0.37515134617674006,1,6
0.388,0.23604383846437288,0.2755627888908782,0.3409595238095238,0.3910165039378493,0.34281563269105814,0.3033800033300033,0.48191645931330945,0.3539725139779614,1,7
0.43639999999999995,0.2718221926549393,0.31443977810578005,0.37375952380952376,0.4287316437659149,0.3763922046644399,0.3247133366633367,0.5126393282283442,0.3781321255843352,1,8
0.3908000000000001,0.23969901302837093,0.27852040143667434,0.3447595238095238,0.39611996074076433,0.3469602291641139,0.30724666999667,0.48869124738786535,0.3587694821045934,1,9
0.37760000000000005,0.2310663967884018,0.2686080549939358,0.34075952380952385,0.39186287890529375,0.343162093189238,0.3031133366633367,0.48267701989148687,0.3540517032508596,1,10
0.3956,0.24398925437743582,0.2831636246032566,0.34995952380952383,0.4010991681863502,0.3518822786121888,0.3091133366633367,0.49163190004184754,0.361018694968045,1,11
0.3464,0.2122366990126379,0.24636668348579366,0.31195952380952385,0.3595880550942504,0.31449973260464936,0.2861800033300034,0.4599107059170021,0.33541318318936497,1,12
0.43119999999999997,0.26927230006387026,0.31104437029919046,0.37575952380952377,0.4315832153310313,0.3786580144218,0.32551333666333665,0.514963943628673,0.3795487204219027,2,1
0.42960000000000004,0.2675965310044796,0.3093311651279452,0.37215952380952383,0.4270444504379624,0.375040222510749,0.3247133366633367,0.5139067368490979,0.3785642502314222,2,2
0.3956,0.24504816770365634,0.28367217443232634,0.3525595238095239,0.406868631457284,0.3558961434444751,0.3115133366633367,0.49504449306159154,0.3636529654602562,2,3
0.39520000000000005,0.24606339074158767,0.284453110843954,0.35295952380952383,0.40651182796665697,0.35606989375593967,0.3093800033300033,0.4924358190412908,0.36131621742483755,2,4
0.40240000000000004,0.24562389700232615,0.28624693347897,0.3513595238095238,0.40323450061278165,0.35352233689026885,0.30991333666333665,0.4914128783713856,0.36132257047052985,2,5
0.37720000000000004,0.2318221318228991,0.2691442335510137,0.3397595238095238,0.390965369019239,0.34227123226518313,0.3019133366633367,0.481440626695311,0.35279222746811867,2,6
0.36679999999999996,0.22397916271471258,0.2603995679305521,0.33015952380952374,0.37882826779356255,0.3322820743095946,0.29791333666333664,0.47482514302476614,0.3481199080569799,2,7
0.3708000000000001,0.22705454701393588,0.26382701890661114,0.3321595238095238,0.38239659162659223,0.3345843575215731,0.2999133366633367,0.4777193636304418,0.35034746074758005,2,8
0.35480000000000006,0.21796001639573792,0.2528080522538108,0.31815952380952384,0.36541560745494317,0.32028285740650825,0.2907133366633367,0.4654770965493976,0.3401889938545356,2,9
0.344,0.20996405139881383,0.24418037478908117,0.31655952380952385,0.36362254787446946,0.3185495416339331,0.28844666999666996,0.46253437474330256,0.3377090939070634,2,10
0.38600000000000007,0.23775843899398888,0.27584875134380504,0.3415595238095238,0.3917184390456365,0.34369050327383266,0.30058000333000334,0.47728187471706784,0.3507036264930453,2,11
0.43639999999999995,0.2723224339311397,0.31462884023094395,0.37475952380952376,0.4284496716617762,0.3770244954533636,0.32538000333000333,0.5157881929746716,0.37976441131981803,2,12
0.42640000000000006,0.2654683452496213,0.306838167264978,0.3627595238095238,0.4161489356646006,0.36546048006112763,0.31791333666333665,0.5043585732278221,0.37090948290893333,3,1
0.36560000000000004,0.22279245337441256,0.25975106094357003,0.3289595238095238,0.37828319567441926,0.33140632530553976,0.29444666999666996,0.470124060381346,0.3441870984081481,3,2
0.44639999999999996,0.276383086840322,0.3201416157028808,0.37395952380952385,0.4278554729953942,0.37630472773320056,0.32764666999666997,0.5180581167213757,0.38191474944882836,3,3
0.44520000000000004,0.2758611531439301,0.31970658540523444,0.37955952380952385,0.43252798481474947,0.3813577396589695,0.32844666999667005,0.5188324507550749,0.38272952269696386,3,4
0.43920000000000003,0.27385876152122957,0.3164382963008658,0.37515952380952383,0.4280630129272073,0.377292978565932,0.32244666999667004,0.5110646965277534,0.376153255897085,3,5
0.4408,0.27343267728255954,0.3165094309506045,0.37215952380952383,0.4265052381942004,0.37476536638604,0.3255133366633367,0.5152129513947861,0.37953803917927087,3,6
0.418,0.2587575294314525,0.2999286499772008,0.3627595238095238,0.41735588323772466,0.36567004911734025,0.3189800033300033,0.5055621828392961,0.3720879680628311,3,7
0.396,0.24382922269073162,0.28281848379999397,0.3447595238095238,0.3962391794108983,0.346956900516039,0.30364666999666995,0.4830520044898292,0.35445896076456745,3,8
0.4336,0.2696814162717178,0.3122404687969341,0.37415952380952383,0.4284466882328472,0.3768484818072684,0.32804666999667004,0.5196276817995623,0.38278549451550387,3,9
0.436,0.2715529950367008,0.31413156486555716,0.36695952380952385,0.42374013408319844,0.3705236607457071,0.3229800033300033,0.5116913573167982,0.37675134880234246,3,10
0.42240000000000005,0.26130479503134973,0.3029082791643302,0.3631595238095238,0.4176694504324838,0.36611610238788905,0.3209800033300033,0.5076585204456183,0.37411127284977713,3,11
0.4212,0.26101053189854173,0.30241709813468787,0.36355952380952383,0.41829564870101954,0.3665290940050551,0.3191133366633367,0.5065816087722669,0.37244801879014755,3,12
0.37320000000000003,0.2292930240026148,0.26602667052105616,0.3229595238095238,0.3698241721760937,0.32486875200645576,0.28911333666333666,0.46140297041778056,0.3379753420818738,4,1
0.4448,0.27531495030734165,0.3192690145610086,0.37975952380952377,0.4337944361505641,0.3819625141206889,0.3295133366633367,0.5210421756872423,0.38419112646262954,4,2
0.446,0.27684910392138484,0.3203681046711049,0.3773595238095238,0.43223158327454,0.3801988199407702,0.32778000333000334,0.518383375709806,0.38211716134641516,4,3
0.43839999999999996,0.2729535054597816,0.31547966394086846,0.37775952380952377,0.43332262653042697,0.38056124454302026,0.3261800033300034,0.5158488310609289,0.380519630747762,4,4
0.35760000000000003,0.2203241626410761,0.25523178345736186,0.31495952380952386,0.3618213181444471,0.31700771119798987,0.28458000333000333,0.4568411802215174,0.3333112119310508,4,5
0.3976,0.24541121068909802,0.28390924434830367,0.34595952380952383,0.39736505465065836,0.34836438713179885,0.3079133366633367,0.4874229950260674,0.358603391238244,4,6
0.4268,0.26392935656945615,0.3058361431401664,0.36695952380952385,0.4216521772056434,0.3701207963992125,0.32151333666333665,0.5087027540524816,0.3747104315484906,4,7
0.442,0.2751419404480146,0.3181433143830961,0.3713595238095238,0.42568956874713704,0.3742065991952073,0.32591333666333666,0.5160344796313601,0.38020674343417,4,8
0.44320000000000004,0.27580892223643605,0.3189704907198686,0.37455952380952384,0.42730709620604285,0.37643153797109147,0.3275133366633367,0.5188032795732856,0.3821169374710863,4,9
0.4288,0.26700486997373185,0.30857061033059235,0.3703595238095238,0.42502772571388464,0.3731718183327946,0.3245800033300033,0.5132070480956603,0.37825298471745766,4,10
0.4308,0.2674320584629173,0.30951670265608056,0.3713595238095238,0.42508360849664184,0.3736438255729387,0.3239133366633366,0.5123837393156043,0.3775938025845654,4,11
0.4496,0.27874120844033345,0.3231943842093311,0.3823595238095238,0.4356734599274981,0.38421064494992935,0.3277800033300033,0.5172960833039074,0.3818105350400216,4,12
0.4408,0.2715949298278785,0.31579766541562054,0.3743595238095238,0.42874169239474125,0.37687507707763607,0.3227133366633367,0.5117480033053797,0.37656651860519696,5,1
0.442,0.27479919678853926,0.3180010542448258,0.3777595238095238,0.4321167105682888,0.3801038848223633,0.32724666999667,0.515491131083536,0.38075880107804005,5,2
0.418,0.2574552600320167,0.29899289135673635,0.3603595238095238,0.41287192903403364,0.3623117707825734,0.31351333666333664,0.49766478324002217,0.3658168556618125,5,3
0.4188,0.2595937493662019,0.3003363940416041,0.3561595238095238,0.40792358340522294,0.3582157494904844,0.31444666999667004,0.49880405529694133,0.3670289701387518,5,4
0.3848000000000001,0.23560087349185815,0.2736509234968585,0.3313595238095238,0.3836498918666572,0.33487643231454706,0.30084666999667,0.47927140397031365,0.35124992725894855,5,5
0.44720000000000004,0.2764673494274181,0.32096331645106896,0.38075952380952377,0.43332062270910365,0.3823334374281969,0.3263133366633367,0.5168821159784512,0.3806681486323382,5,6
0.42840000000000006,0.2662028485546052,0.308063463452978,0.3647595238095238,0.4183077509636333,0.3673338356594473,0.32258000333000336,0.5101790044933604,0.37592870785297067,5,7
0.438,0.2737498233004189,0.31608985077232876,0.37675952380952377,0.43173206264266634,0.3792556106961045,0.32538000333000333,0.5154671760455883,0.37953705096522256,5,8
0.3652,0.22248175971389056,0.2588607677951524,0.32255952380952385,0.3693168839676748,0.3243250014229354,0.28884666999667,0.46268159722027674,0.33804899435965896,5,9
0.43040000000000006,0.26486227622703595,0.30731260492581275,0.3661595238095238,0.41996661503532884,0.3687792755917541,0.31964666999666996,0.5065636362586726,0.3728177562543709,5,10
0.3764,0.22948088491191532,0.2666825605468536,0.33315952380952374,0.3808472531339876,0.33485902784398414,0.29698000333000335,0.4747742383052553,0.3473053264389066,5,11
0.45120000000000005,0.28001179059569825,0.3241658674117469,0.3823595238095238,0.43653594396348133,0.38481003371530564,0.3309800033300033,0.5214532670097585,0.38531582841899686,5,12
0.372,0.2273281584617902,0.26462051181720053,0.3257595238095238,0.37328368933280764,0.32770673005532863,0.29244666999667,0.46783928601958963,0.3420645715899986,6,1
0.37239999999999995,0.22719990989875896,0.2650654733418188,0.3181595238095238,0.36282804585958106,0.3198230980591601,0.28084666999667,0.450438586931308,0.32907547272419696,6,2
0.422,0.26026050662580813,0.3021456212153965,0.35495952380952384,0.40713498771871703,0.35714136440564825,0.3103133366633367,0.4937169878318687,0.3622283004435386,6,3
0.42360000000000003,0.2645414610514994,0.3049289030395546,0.3677595238095238,0.42190565377436756,0.37010372473945713,0.32204666999667003,0.5098668311661716,0.37539799118499045,6,4
0.434,0.271004468248532,0.3129592037232852,0.3671595238095238,0.4224621025054125,0.37000594236481105,0.32084666999667,0.5086431087728672,0.37420968831143575,6,5
0.35000000000000003,0.21419503778130108,0.24875006845877326,0.30595952380952385,0.3516385575184202,0.3078191358577724,0.2779133366633366,0.4470974394764137,0.32591240274589073,6,6
0.4408,0.2733947067993104,0.3166548679078682,0.37055952380952384,0.42479925771944216,0.37312934838172085,0.32391333666333666,0.5116307083103253,0.3773893108215162,6,7
0.41120000000000007,0.25201430755197746,0.29287775695083984,0.3507595238095238,0.40443292125233166,0.35396874342118395,0.31178000333000333,0.49561522409877506,0.3639671546066581,6,8
0.4,0.24650830167001253,0.2863690209152116,0.3447595238095238,0.3971283068324864,0.34788068263397826,0.30684666999667004,0.4885665926794174,0.3584591500035138,6,9
0.3468,0.214577804530214,0.248656042437125,0.3105595238095238,0.3573459381464968,0.3128838692057052,0.28204666999667,0.4532727774081758,0.3304613443880619,6,10
0.3524,0.21236383950462223,0.24847389452458873,0.3165595238095238,0.36364678460564176,0.3186684425182889,0.28884666999667,0.4622962620875731,0.3377295957266259,6,11
0.3888000000000001,0.238811987091345,0.27737397916988243,0.3359595238095238,0.3828502658103277,0.33713892578742666,0.2995133366633366,0.475564585748278,0.349264675929337,6,12
0.4348,0.26730328317330604,0.3106078401185405,0.36855952380952384,0.4223560980381549,0.37081110199138995,0.3191133366633367,0.5059069740671975,0.3721756247040818,7,1
0.4044000000000001,0.24449677569443015,0.2857816456358703,0.3485595238095239,0.39608426784163425,0.34950875781332597,0.3081800033300033,0.4894584922113627,0.3596919247386495,7,2
0.36760000000000004,0.22538767662941842,0.26145497745878027,0.3309595238095238,0.379118475923029,0.33292277598225245,0.29644666999667,0.47099240821272725,0.345803415287045,7,3
0.37520000000000003,0.23132706249855597,0.2687196121045946,0.3229595238095238,0.37349341633025845,0.32602751483368797,0.29204666999667,0.4671135001063558,0.34146587100881937,7,4
0.3672,0.22326819681181304,0.26089986244078595,0.32915952380952385,0.3761278459816857,0.33039360130607087,0.29484666999667003,0.47032564292071627,0.3444874955772474,7,5
0.4192000000000001,0.2623758306606671,0.30236633259352913,0.36495952380952384,0.42021046494510955,0.3682716310728287,0.32218000333000335,0.5113928335895122,0.37606431047754224,7,6
0.38480000000000003,0.2371985288490942,0.27528967788595604,0.3301595238095238,0.379178061223387,0.3325671414644856,0.2955133366633366,0.4723841381292115,0.3455602505372402,7,7
0.386,0.23644065825952015,0.27515455925646315,0.3341595238095238,0.3836386326864184,0.3365143229731778,0.30258000333000334,0.4811135155849619,0.353240005363867,7,8
0.4204,0.2620680978705814,0.3031676567324654,0.3611595238095238,0.41431004882045064,0.3637409418031493,0.3141800033300034,0.4994718219272937,0.3668189540105381,7,9
0.35320000000000007,0.21659759920623092,0.25128940018596657,0.30495952380952385,0.35275804390292204,0.30849241426056095,0.27564666999667004,0.4430008645317132,0.32335044842518534,7,10
0.3388,0.20925842304298356,0.24221237434973136,0.3033595238095238,0.3489367861818663,0.30529957820614895,0.27844666999667,0.44994292993092966,0.32703424763137096,7,11
0.43439999999999995,0.27140371262014484,0.3130051340150809,0.36995952380952385,0.4256322081311548,0.37303353343449697,0.32231333666333667,0.5111122320272071,0.3759888715912622,7,12
0.44320000000000004,0.2747546061537312,0.3182296812060998,0.37395952380952385,0.4290387533458101,0.376876237131445,0.3261800033300034,0.5162282998830885,0.3803242510798335,8,1
0.3184,0.19637093415600618,0.2272961598694833,0.2843595238095238,0.32919674273481314,0.28720418813487003,0.2663133366633367,0.4317540529901042,0.3132236632083656,8,2
0.35520000000000007,0.21978845705851358,0.2544250024269038,0.29875952380952386,0.34765932406149463,0.30272887901171236,0.2723133366633367,0.4420144723176894,0.32062464095221216,8,3
0.39920000000000005,0.24940706880975422,0.2874492102589434,0.33835952380952383,0.3913558385884069,0.341854237765951,0.3051133366633367,0.48635434956751417,0.3566204091625424,8,4
0.41480000000000006,0.25638563546427995,0.29671501513773396,0.3487595238095238,0.4009594845127353,0.35120085263103384,0.31044666999667,0.4938154476654847,0.36245338461472515,8,5
0.408,0.24859027488529778,0.2895717381825515,0.3523595238095238,0.40457962703516953,0.354777807228209,0.31284666999667,0.49643191101846706,0.3649159348460506,8,6
0.34080000000000005,0.21033697102006094,0.24320092113117528,0.3013595238095238,0.3476000892962698,0.3041655419520382,0.27844666999667006,0.4496292194181782,0.32688015568093093,8,7
0.35840000000000005,0.21838582062209735,0.2541109848842496,0.31415952380952383,0.36178257707790284,0.31640299157855317,0.28711333666333666,0.4599748225702795,0.33595614350658926,8,8
0.3888,0.2418664463200908,0.27935873452978477,0.3409595238095238,0.38865898904966745,0.34244100160030766,0.3007133366633367,0.47892577035792805,0.3513598446903693,8,9
0.4092,0.25504739617245004,0.2942346269681887,0.3477595238095238,0.4018564510423644,0.35109540879800466,0.3091133366633367,0.49158488903136566,0.3608825990268284,8,10
0.342,0.20950317869464455,0.24368774888570452,0.30095952380952384,0.34918174453996575,0.3045700210547817,0.27058000333000337,0.4386952410642308,0.3183954064696081,8,11
0.3536,0.2159955648886393,0.25119548955090404,0.31215952380952383,0.3573362519176929,0.31361787017303916,0.28484666999667,0.45662825044665134,0.333496760524257,8,12
0.37800000000000006,0.23172112069951953,0.26907581139648323,0.33535952380952383,0.38597380634812656,0.3378517935510273,0.2987133366633367,0.4762171055943603,0.3490416788081961,9,1
0.37439999999999996,0.2285133406657804,0.2661313974995296,0.3219595238095238,0.36977162556263377,0.3241970444753075,0.29204666999667,0.4683888605251406,0.34208117947039796,9,2
0.3388,0.20975665324141565,0.24248184639662998,0.3005595238095238,0.3470217807537332,0.30295528590366916,0.28324666999667,0.45523110242783144,0.3318309897844071,9,3
0.32839999999999997,0.20062867416281738,0.23308219386593368,0.2961595238095238,0.3411977644251672,0.298804426140098,0.2785800033300034,0.4466771782648684,0.3263582561186469,9,4
0.4232,0.2631940770227215,0.30369218269465525,0.3611595238095238,0.4162706428615232,0.36422080051250594,0.3157800033300033,0.5007171590918865,0.3681443538612233,9,5
0.42360000000000003,0.2644748916759046,0.30501525557424036,0.3673595238095238,0.42233739480022625,0.37008828290065754,0.32164666999666996,0.5097268097981148,0.3750724485674074,9,6
0.3784,0.23170199741367797,0.26949893872823816,0.3247595238095238,0.3748298997242967,0.3275207435858117,0.29444666999667,0.471870496229515,0.34453659810574166,9,7
0.4452,0.27475730673807136,0.31886912722955774,0.37295952380952385,0.424798980663175,0.3743280540058441,0.32364666999666997,0.5127630050613998,0.3774632769822311,9,8
0.3652,0.22601062297832386,0.26070681510736315,0.3297595238095238,0.38201782696745673,0.333123690631317,0.29898000333000335,0.4769129875182574,0.3492275220062464,9,9
0.3308000000000001,0.2047251238198842,0.23683439024079156,0.29655952380952383,0.3470963847818674,0.30080377154294546,0.27418000333000336,0.4427463725379629,0.32207261052122804,9,10
0.3848000000000001,0.2365299710279351,0.2743532107189666,0.3411595238095238,0.39278557654051327,0.3437052674384903,0.30471333666333666,0.484758853540456,0.3557187876606063,9,11
0.358,0.21655247451344167,0.2523662473031717,0.3211595238095238,0.37049336178433967,0.3239626091864117,0.29071333666333665,0.464118835483676,0.33988191600205553,9,12
