precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.44120000000000004,0.27688724258596387,0.31918107369259713,0.3775373015873016,0.4346329622241824,0.38117506874282603,0.32701558996559,0.517438149006311,0.38123044339087486,1,1
0.454,0.28380640360795834,0.3280486204372182,0.37933730158730156,0.4349938602704385,0.38222191926768734,0.3336822566322566,0.5263747031558851,0.38849862974552785,1,2
0.43239999999999995,0.2701879775895323,0.3118914221164272,0.3665373015873016,0.41890574990548407,0.3686672419603348,0.3216822566322567,0.5083641340010602,0.3751837528708727,1,3
0.42880000000000007,0.26770297019926176,0.3092821266285586,0.3641373015873016,0.41832242790126417,0.36695450912760436,0.32021558996558996,0.5066163030592497,0.3733169810775335,1,4
0.44160000000000005,0.2752774279942001,0.31833529754179013,0.37573730158730156,0.4311075251258217,0.3785399295116838,0.33101558996559,0.523333649068933,0.3858484434376696,1,5
0.4428,0.2755509683998915,0.31897686581248874,0.3707373015873016,0.4257634371157726,0.373817348999194,0.32421558996558997,0.5129977636780941,0.3779915539679318,1,6
0.4488000000000001,0.27864908177303516,0.32279900192796995,0.3719373015873016,0.4277395457223462,0.375555686738708,0.3256822566322567,0.5160013199399625,0.3797917761275176,1,7
0.4484000000000001,0.27924096737580384,0.3231090319884953,0.37253730158730164,0.42471059104530967,0.374290368401567,0.32821558996558997,0.5187709601124361,0.38253488367610644,1,8
0.44720000000000004,0.2805261656025184,0.3235702570454762,0.3761373015873016,0.4326669449254723,0.37948541468647395,0.32794892329892333,0.5180687031558752,0.3820419463305249,1,9
0.456,0.28516733738223504,0.32989922655624543,0.3791373015873016,0.43398402147923615,0.3819791217336681,0.32874892329892336,0.5202227539927903,0.3832362784790884,1,10
0.426,0.2643382357507038,0.3060012807524791,0.3633373015873016,0.4158186805048698,0.3658564309060148,0.31768225663225663,0.504056280396565,0.37078252139290596,1,11
0.4384,0.2722716030224443,0.31501617596071935,0.36973730158730156,0.42626848400673273,0.37327399560538216,0.3255489232989233,0.5147803274448988,0.37932613328309867,1,12
0.43760000000000004,0.2732242917111405,0.31554145995350974,0.3745373015873016,0.4315383474940279,0.3782049859174192,0.3266155899655899,0.5152866888399934,0.3805551515463307,2,1
