precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.268,0.11501170071758308,0.15994509793487446,0.196,0.16439999706176178,0.17716435136354122,0.16133333333333333,0.2029284685902333,0.1780583592245898,1,1
0.256,0.10998991694579928,0.15293085320825262,0.20100000000000004,0.1698823341690989,0.18264382443961502,0.15933333333333333,0.2000359166976814,0.17585755865482372,1,2
0.262,0.11220012340600576,0.15608188192383238,0.19399999999999998,0.16362140065816536,0.17610925680811268,0.1653333333333333,0.20858009474185946,0.18274366980990034,1,3
0.248,0.1070928695487519,0.14871999108562575,0.198,0.16746768917357152,0.18000256522421393,0.16066666666666662,0.2025001607869255,0.17759671151778078,1,4
0.262,0.11464813372901608,0.15859697521260988,0.20300000000000004,0.17143344972021446,0.18443385708050578,0.162,0.20349998041174508,0.1787825816391348,1,5
0.266,0.11331739910416382,0.15792066470967397,0.20200000000000004,0.16948770102446573,0.18275828169565345,0.15866666666666665,0.19942165595842065,0.17514088914883272,1,6
0.268,0.11436866319954556,0.1592839884618455,0.195,0.16357286585963057,0.17627317442453821,0.1653333333333333,0.20692162820839288,0.182095194481781,1,7
0.252,0.10922901118489353,0.15150284036568867,0.183,0.15667370537958775,0.16764676022976935,0.15133333333333332,0.19204118512206747,0.16796319487478142,1,8
0.24799999999999997,0.10668215526303762,0.14835805683824257,0.19700000000000004,0.16706014247190715,0.17939542839777395,0.16399999999999998,0.20601192679869146,0.1809629460150498,1,9
0.25799999999999995,0.11112868504044973,0.1544044804581956,0.2,0.1688341323708971,0.18158867769233905,0.16799999999999998,0.21142025458201924,0.18551464366363288,1,10
0.25999999999999995,0.11185624914301386,0.15544836467855044,0.20000000000000004,0.16896046437222906,0.18165068090651615,0.16466666666666666,0.20680758946935413,0.18158973523872443,1,11
0.222,0.09501306046894281,0.13219286854070136,0.18600000000000003,0.15773234526910995,0.1693308366646135,0.14666666666666664,0.18649837091013563,0.16291491317357976,1,12
0.254,0.11017081937670171,0.15283505816508913,0.19100000000000006,0.16338654809243042,0.17492659618328954,0.15466666666666665,0.19468803826892064,0.17080635755242685,2,1
0.23399999999999999,0.10122421043009278,0.14050091398109976,0.18900000000000003,0.1617963188772012,0.1730637653261223,0.154,0.19472468626145095,0.1705238783525116,2,2
0.21799999999999997,0.09221046437222907,0.1285466484368894,0.191,0.1610244836862484,0.17316886762678635,0.15466666666666665,0.19233257836934303,0.16981745214263708,2,3
0.24599999999999997,0.10588380492056962,0.14702636680235956,0.19000000000000003,0.16008021961698432,0.17231518884942335,0.14866666666666664,0.1871869045986693,0.16437340806310918,2,4
0.268,0.11455477284153755,0.15953968526475593,0.203,0.1717082304949952,0.1845275721312335,0.16333333333333333,0.20564093667770136,0.18049562508977554,2,5
0.258,0.11064322605499076,0.15377987564551032,0.199,0.167289177325942,0.18017227177412642,0.162,0.20345177861354333,0.17870091741542382,2,6
0.268,0.11367370946047414,0.15851741963335717,0.19500000000000003,0.16295929887106358,0.17591036736127352,0.15266666666666664,0.19192012970689443,0.16846737338844264,2,7
0.25,0.10570123748800218,0.14757244281221937,0.19000000000000003,0.15949941153617622,0.171894008148404,0.15,0.18918199284375756,0.16583512320135377,2,8
0.244,0.10436605877782348,0.14527264511536284,0.19000000000000006,0.16156689960366427,0.17322009538453587,0.15399999999999997,0.19425490604167078,0.17025093758924825,2,9
0.256,0.10892103158279628,0.15176081410276457,0.20000000000000004,0.16979335370511842,0.18223382078956563,0.15533333333333332,0.19585447314123786,0.17172587899522412,2,10
0.23199999999999998,0.09890267085855321,0.1376818319623273,0.18900000000000003,0.15941001482177952,0.1714559457660384,0.1533333333333333,0.1928430401298048,0.16932626964733896,2,11
0.264,0.11386641952818423,0.15812145672238553,0.201,0.17046136624813094,0.1830550107871618,0.16333333333333333,0.20447531063707533,0.17998947078673586,2,12
0.226,0.09881212251800488,0.1367221042115779,0.169,0.14518151701239937,0.15520123521702472,0.1373333333333333,0.1733001385869033,0.15191738050396705,3,1
0.154,0.06385781701958174,0.08962837411861507,0.14700000000000002,0.12302598218774687,0.132684342578989,0.12666666666666665,0.1580901680019327,0.13933534457676983,3,2
0.258,0.1117519604578428,0.15504169976909915,0.19700000000000004,0.16815393756570227,0.18009430627428336,0.15533333333333332,0.19665834982011454,0.17208580216927413,3,3
0.24400000000000002,0.10651436472024706,0.14740410086989036,0.172,0.1482575659634483,0.15818407312663607,0.1393333333333333,0.17877976598564835,0.15549362799453598,3,4
0.188,0.08040407223495459,0.11195878887194675,0.14500000000000002,0.12491668462256697,0.13324709099485987,0.11533333333333332,0.14825420821009055,0.12873162001117094,3,5
0.234,0.10076591872180106,0.14002263495018913,0.18200000000000002,0.1558157202274849,0.16665542869495958,0.14799999999999996,0.18679304845481318,0.16364091704163036,3,6
0.17799999999999996,0.07670800441388675,0.10660324333389347,0.141,0.12092370946047415,0.12932753372570305,0.12466666666666665,0.15898620252296725,0.13870313703388373,3,7
0.22599999999999998,0.09609408075584545,0.13390517910022554,0.185,0.15581531785208255,0.16762773231282493,0.14799999999999996,0.18558271711948182,0.16308904861768186,3,8
0.212,0.09202543698131933,0.12767273550323088,0.151,0.12936243331831565,0.1382959228581894,0.12333333333333332,0.15713310708898945,0.13706748811044284,3,9
0.26999999999999996,0.11543375088963323,0.16069277595345036,0.20800000000000007,0.17643464297140768,0.18940925900504957,0.16533333333333328,0.2066011431379078,0.18199496687187594,3,10
0.27399999999999997,0.11845347136523607,0.16447774937929066,0.20500000000000004,0.1729566764934412,0.1860597597309175,0.15999999999999998,0.2005228186845834,0.1763677099166991,3,11
0.262,0.11322389130477366,0.1572671432798368,0.20200000000000007,0.17010043551220022,0.18313188115787768,0.16066666666666665,0.20141809007985478,0.17707581954205012,3,12
