precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.4851926977687628,0.15855913873129038,0.23125873409997205,0.42677484787018255,0.2710656005487309,0.3191214868061881,0.3856886521186724,0.3606025101958129,0.35884060378136345,1,1
0.48722109533468555,0.158019182778228,0.2309424217255563,0.4231237322515213,0.269176635204664,0.3164331917677139,0.37784551486377044,0.3521757568527041,0.3507454733139157,1,2
0.46693711967545637,0.15131920250767397,0.22132883251186836,0.41947261663286006,0.26720769098512015,0.31397653711699886,0.3785216473857448,0.3528315554022985,0.3511244324346344,1,3
0.4592292089249493,0.14889987909754404,0.21779486509953824,0.4095334685598377,0.26007645239862853,0.3059219610146776,0.3717603221660017,0.34578829433654346,0.34469633497779756,1,4
0.49208924949290067,0.15924385770786084,0.23285625225674153,0.4352941176470589,0.2768259209244171,0.32537498341869003,0.39136816530325663,0.36470910308422405,0.3633261608781151,1,5
0.46531440162271803,0.14991386437139972,0.2196013591265951,0.401419878296146,0.25527917607191597,0.3001781776261687,0.3591842572572796,0.33438530323870974,0.33322980326675783,1,6
0.486815415821501,0.15784763614985972,0.23073515824242083,0.4294117647058823,0.2720243100999062,0.3203812500116927,0.38460684008351353,0.35901102866060747,0.3570696924874395,1,7
0.48884381338742394,0.15680604292050912,0.23007066585874764,0.43772819472616636,0.27699009507718125,0.3261875173439351,0.39123293879886173,0.3651131989232193,0.36336715071674647,1,8
0.4665314401622718,0.1530026344890174,0.2232082429955341,0.4115618661257606,0.2604439759007667,0.30682630441199366,0.3729773607055555,0.34634488243103073,0.3456404744847023,1,9
0.5010141987829615,0.16278164691993713,0.23783523031771378,0.43610547667342797,0.2750018416374151,0.3246007202934483,0.39096248579007203,0.3638373373181215,0.3622874258039125,1,10
0.4584178498985802,0.14861438786578177,0.21739242032433903,0.4107505070993915,0.2613700968313793,0.3071223623853684,0.370543283626448,0.34416181837171367,0.3433249140292826,1,11
