precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.4912778904665315,0.15909578524901016,0.23303166147255808,0.43671399594320487,0.27873806134662776,0.32753963248010093,0.391909071320836,0.36727478503459143,0.36484553632594685,1,1
0.49290060851926976,0.1598768945678834,0.23381853873784295,0.4338742393509128,0.2779083090557058,0.3259049617261138,0.3855534256142775,0.3613655287523142,0.35881353151376905,1,2
0.48356997971602433,0.1584143279689756,0.23109982226971915,0.4298174442190669,0.27301646807504926,0.3214033795868957,0.3856886521186724,0.3602875499119423,0.35851758599602496,1,3
0.4791075050709939,0.15519963085867258,0.2273316136660846,0.422920892494929,0.26902974565616555,0.31642942126850415,0.37743983535058584,0.35244969115291686,0.3507910257050442,1,4
0.4900608519269777,0.1587615722452675,0.232354730793893,0.42677484787018255,0.2718008518314226,0.3195272056461705,0.3804148184472728,0.3545853255900627,0.35329681677969427,1,5
0.4900608519269777,0.15967213874204883,0.23322011608147078,0.43204868154158216,0.27654814420918444,0.3243976547565356,0.385147746101093,0.3615979259720561,0.3587578261845897,1,6
0.493711967545639,0.15971655812206437,0.2338125898252387,0.43569979716024343,0.27796590754015243,0.3264535192934372,0.3882579557021748,0.3641062497023742,0.36151755186534495,1,7
0.481947261663286,0.15627683548261218,0.22853001828814032,0.42170385395537524,0.2697997642558373,0.3165167682576618,0.381226177473642,0.35715136076269394,0.35486541451092685,1,8
0.4847870182555781,0.1576215204612529,0.23041325721116962,0.4342799188640974,0.2761525440414534,0.3248857120277417,0.38974544725051824,0.36348147277343557,0.3620424028939217,1,9
0.4872210953346856,0.15810559813668304,0.23135661282054742,0.43103448275862066,0.27424515406886896,0.3226649682517504,0.38879886171975425,0.3638950614343323,0.36174950304563824,1,10
0.491683569979716,0.15937824509945617,0.23330719541798434,0.4308316430020284,0.2749580106695079,0.3229924795094685,0.3889340882241491,0.3644972869677019,0.36209587529346915,1,11
0.45314401622718053,0.1474371439948988,0.2154804473638735,0.4176470588235294,0.26634151424823216,0.3127833850681494,0.376358023315427,0.3530553605159066,0.3504144660884977,1,12
0.4835699797160243,0.15690560172292978,0.22954218215929587,0.4241379310344828,0.2704596907939073,0.31766885762351943,0.3827136690219855,0.3573995724164534,0.3558212094890879,2,1
0.4758620689655173,0.1543587699977359,0.22567048037976167,0.42251521298174444,0.2693978878794917,0.31655323517011197,0.37811596787256013,0.3527904300558232,0.35129233733043685,2,2
0.4912778904665314,0.16036633184073437,0.23385431749991684,0.43184584178498986,0.27448851812587094,0.3230485925791793,0.3843363870747238,0.3601692678129058,0.35802948649687405,2,3
0.47545638945233265,0.15433029213289706,0.2257935329199926,0.42109533468559834,0.2685219506877607,0.3152548501773294,0.38055004495166767,0.35589914538376494,0.3538899755555709,2,4
0.4957403651115619,0.1607828653559425,0.235362607341172,0.43772819472616636,0.28020079865540065,0.3286230194562198,0.39204429782523087,0.36676944359881175,0.36458106562991643,2,5
0.4803245436105477,0.15610999398625264,0.22818029506242107,0.4294117647058823,0.2742098617953875,0.3219718185024643,0.3863647846406467,0.3618235631671693,0.3595827193775077,2,6
0.47342799188640977,0.15437748979458102,0.22549658530401032,0.4198782961460446,0.2677055975298391,0.31447685072427467,0.3741943992451092,0.34994972896055726,0.3478951935147265,2,7
